matterport,source.type,year_built,baths_3qtr,Sold_Price,baths_half,lot_sqft,sqft,baths,sub_type,garage,stories,beds,type,lead_attributes.show_contact_an_agent,is_foreclosure,is_new_listing,products.brand_name,state,coordinate.lon,coordinate.lat,city,state_code,basement,big_lot,big_yard,carport,central_air,central_heat,community_outdoor_space,community_security_features,community_swimming_pool,corner_lot,cul_de_sac,dining_room,disability_features,dishwasher,energy_efficient,ensuite,family_room,farm,fenced_yard,fireplace,floor_plan,forced_air,front_porch,groundscare,hardwood_floors,high_ceiling,laundry_room,master_bedroom,modern_kitchen,new_roof,park,recreation_facilities,rental_property,shopping,single_story,swimming_pool,trails,updated_kitchen,view,views,washer_dryer,same
0,1,-0.0930232558139534,0,136000.0,0,1.5214570858283434,0.1440281030444964,2,2,2,1,3,10,True,False,0,3,0,-0.0756036743891862,-1.2938553123357706,54,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,True
0,1,-0.3255813953488372,0,31500.0,0,0.5796739853626082,-0.7822014051522248,1,2,0,1,3,10,True,False,0,4,0,-0.0757388605116166,-1.2900406431526994,54,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,True
0,1,0.0697674418604651,0,172500.0,0,0.5796739853626082,0.081967213114754,2,2,0,1,4,10,True,False,0,4,0,-0.072778385693399,-1.279858686669143,54,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,True
0,1,-0.1162790697674418,0,178000.0,0,0.7969061876247505,0.3079625292740047,2,2,0,1,4,10,True,False,0,4,0,-0.0730723522203028,-1.2833082462633565,54,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,True
0,1,-0.2325581395348837,0,150000.0,0,9.998835662009316,0.2388758782201405,2,2,2,1,3,10,True,False,0,4,0,-0.0759652339773052,-1.2938661589071694,54,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,True
0,1,-0.627906976744186,0,170000.0,1,50.86343978709248,1.713114754098361,3,2,0,1,3,10,True,False,0,4,0,-0.0742129281678662,-1.3007353625518974,54,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,True
0,1,-0.3488372093023256,0,125000.0,0,0.7969061876247505,-0.2915690866510538,1,2,0,1,3,10,True,False,0,3,0,-0.0733463193021274,-1.2838091129393996,54,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,True
0,1,0.2790697674418604,0,162000.0,0,-0.2899201596806387,-0.1053864168618267,2,2,0,1,3,10,True,False,0,4,0,-0.0712891611918811,-1.2869299514423491,54,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,True
0,1,-0.5116279069767442,0,111200.0,0,0.0723552894211576,-0.5281030444964872,2,2,0,1,3,10,True,False,0,4,0,-0.0748416702159348,-1.283830281248097,54,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,True
0,1,-0.5581395348837209,0,63000.0,0,-0.072521623419827,-0.3969555035128805,1,2,1,1,3,10,True,False,0,3,0,-0.0747460273001025,-1.2828010815781132,54,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,True
